angolo,verticale 2cm,,angolo,verticale 4cm,,angolo ,verticale 6cm,,angolo,verticale 10cm,,angolo,orizzontale 5cm
5,2,,2,4,,2,6,,2,10,,2,5
6,2,,3,4,,3,6,,3,10,,3,5
7,3,,4,4,,4,6,,4,10,,4,5
8,3,,5,4,,5,6,,5,10,,5,5
9,3,,6,4,,6,6,,6,10,,6,6
10,3,,7,4,,7,7,,7,10,,7,6
11,3,,8,4,,8,7,,8,10,,8,6
12,4,,9,4,,9,7,,9,11,,9,6
13,4,,10,4,,10,7,,10,11,,10,6
14,3,,11,4,,11,7,,11,11,,11,6
15,3,,12,4,,12,7,,12,12,,12,6
16,4,,13,4,,13,9,,13,12,,13,6
17,5,,14,4,,14,327,,14,12,,14,6
18,5,,15,5,,15,10,,15,13,,15,6
19,5,,16,5,,16,10,,16,14,,16,6
20,4,,17,5,,17,289,,17,182,,17,6
21,4,,18,5,,18,8,,18,0,,18,6
22,5,,19,6,,19,263,,19,4,,19,6
23,7,,20,5,,20,40,,20,0,,20,6
24,6,,21,6,,21,262,,21,4,,21,6
25,5,,22,6,,22,59,,22,266,,22,6
26,5,,23,6,,23,10,,23,245,,23,6
27,6,,24,6,,24,11,,24,269,,24,6
28,178,,25,7,,25,10,,25,58,,25,7
29,181,,26,7,,26,10,,26,13,,26,6
30,77,,27,7,,27,10,,27,13,,27,6
31,201,,28,95,,28,10,,28,13,,28,6
32,9,,29,244,,29,12,,29,12,,29,6
33,7,,30,77,,30,164,,30,13,,30,7
34,6,,31,9,,31,250,,31,13,,31,33
35,7,,32,9,,32,67,,32,13,,32,321
36,57,,33,10,,33,265,,33,140,,33,336
37,11,,34,12,,34,60,,34,19,,34,336
38,11,,35,240,,35,268,,35,16,,35,336
39,210,,36,246,,36,54,,36,13,,36,336
40,58,,37,79,,37,336,,37,13,,37,336
41,208,,38,245,,38,336,,38,12,,38,336
42,99,,39,77,,39,336,,39,12,,39,336
43,208,,40,245,,40,251,,40,14,,40,336
44,113,,41,73,,41,71,,41,138,,41,336
45,207,,42,244,,42,336,,42,251,,42,336
46,10,,43,79,,43,336,,43,73,,43,336
47,10,,44,245,,44,336,,44,334,,44,336
48,69,,45,77,,45,336,,45,336,,45,336
49,208,,46,246,,46,336,,46,336,,46,336
0,101,,47,76,,47,336,,47,336,,47,336
1,2,,48,246,,48,336,,48,336,,48,336
2,2,,49,75,,49,336,,49,336,,49,336
3,2,,50,332,,50,335,,50,335,,50,336
4,2,,1,329,,1,328,,1,327,,1,327
5,2,,2,4,,2,6,,2,10,,2,5
6,3,,3,4,,3,6,,3,10,,3,5
7,3,,4,4,,4,6,,4,10,,4,5
8,3,,5,4,,5,6,,5,10,,5,5
9,3,,6,4,,6,6,,6,11,,6,5
10,3,,7,4,,7,6,,7,10,,7,6
11,3,,8,4,,8,7,,8,11,,8,6
12,4,,9,4,,9,8,,9,11,,9,6
13,4,,10,5,,10,7,,10,11,,10,6
14,3,,11,5,,11,7,,11,11,,11,6
15,3,,12,5,,12,8,,12,12,,12,6
16,4,,13,5,,13,8,,13,12,,13,6
17,5,,14,4,,14,9,,14,13,,14,6
18,5,,15,5,,15,81,,15,13,,15,6
